State_Name,Crop,Production
Kerala,Coconut,97803036000.00
Andhra Pradesh,Coconut,16806002260.00
Tamil Nadu,Coconut,10937742655.00
Uttar Pradesh,Sugarcane,2202874890.00
Assam,Coconut,1954408105.00
Maharashtra,Sugarcane,938485965.00
Tamil Nadu,Sugarcane,847496816.00
West Bengal,Coconut,717841216.00
Andaman and Nicobar Islands,Coconut,717790000.00
Karnataka,Sugarcane,515845482.00
Goa,Coconut,503112559.00
Uttar Pradesh,Wheat,469911750.00
Puducherry,Coconut,379139000.00
Punjab,Wheat,276946000.00
West Bengal,Rice,258092849.00
Andhra Pradesh,Sugarcane,226730305.00
Uttar Pradesh,Rice,218793359.00
Gujarat,Sugarcane,212022800.00
Uttar Pradesh,Potato,192068401.00
Punjab,Rice,179702000.00
Haryana,Wheat,158647000.00
West Bengal,Potato,154976910.00
West Bengal,Jute,147825671.00
Madhya Pradesh,Wheat,147153856.00
Andhra Pradesh,Rice,143742455.00
Odisha,Rice,119422742.00
Haryana,Sugarcane,112680900.00
Bihar,Sugarcane,106227183.00
Telangana,Coconut,105672992.00
Tamil Nadu,Rice,100122666.00
Uttarakhand,Sugarcane,98902736.00
Rajasthan,Wheat,94669124.00
Bihar,Rice,92022922.00
Punjab,Sugarcane,88780000.00
Gujarat,Cotton(lint),85777500.00
Madhya Pradesh,Soyabean,85273955.00
Chhattisgarh,Rice,81498618.00
Bihar,Wheat,81020206.00
Assam,Rice,71801090.00
Maharashtra,Cotton(lint),71786349.00
Telangana,Rice,69195676.00
Karnataka,Rice,65837072.79
Telangana,Sugarcane,63164528.00
Tamil Nadu,Banana,58716087.00
Karnataka,Coconut,56767101.29
Tamil Nadu,Tapioca,55648649.00
Maharashtra,Jowar,55018576.00
Haryana,Rice,49318300.00
Karnataka,Maize,48308900.00
Kerala,Tapioca,46113659.30
Rajasthan,Bajra,44172355.00
Maharashtra,Rice,43008628.00
Maharashtra,Soyabean,39994352.00
Madhya Pradesh,Gram,39030407.00
Rajasthan,Rapeseed &Mustard,38817485.00
West Bengal,Oilseeds total,38657300.00
Gujarat,Wheat,36783800.00
Gujarat,Groundnut,36609300.00
Madhya Pradesh,Sugarcane,33870810.00
Bihar,Maize,32232829.00
Telangana,Cotton(lint),31228434.00
Uttar Pradesh,Total foodgrain,30587158.00
Telangana,Maize,30559315.00
Punjab,Cotton(lint),29262000.00
Madhya Pradesh,Rice,27622679.00
West Bengal,Sugarcane,27538321.00
Gujarat,Banana,25402100.00
Haryana,Cotton(lint),25258700.00
Uttar Pradesh,Bajra,24421607.00
Karnataka,Jowar,24191754.00
Karnataka,Ragi,23538643.00
Madhya Pradesh,Maize,22546783.00
Maharashtra,Wheat,22443475.00
Uttar Pradesh,Maize,22377151.00
Maharashtra,Maize,20853343.00
Bihar,Jute,20300657.00
Rajasthan,Maize,19133051.00
Assam,Paddy,19095877.00
Gujarat,Rice,19084200.00
Tamil Nadu,Groundnut,18933400.00
Assam,Sugarcane,18845994.00
Gujarat,Onion,18808000.00
Gujarat,Bajra,18724400.00
Andhra Pradesh,Maize,18527379.00
Andhra Pradesh,Groundnut,18385361.00
Odisha,Sugarcane,18114891.60
Andhra Pradesh,Cotton(lint),17882076.00
Gujarat,Potato,17283000.00
Karnataka,Arecanut,16740994.00
Maharashtra,Bajra,16029469.00
West Bengal,Wheat,15785272.00
Karnataka,Cotton(lint),15319987.00
Andhra Pradesh,Banana,15041631.00
West Bengal,Pulses total,14150679.00
Bihar,Potato,14035519.00
Haryana,Bajra,13502100.00
Karnataka,Onion,12985922.00
Maharashtra,Arhar/Tur,12870087.00
Rajasthan,Gram,12672230.00
Maharashtra,Gram,12630797.00
Gujarat,Castor seed,12423900.00
Assam,Jute,11789532.00
Assam,Banana,11724386.00
Uttarakhand,Wheat,11632116.00
Uttar Pradesh,Rapeseed &Mustard,11259735.00
Tamil Nadu,Maize,11201656.00
Assam,Potato,11021521.00
Karnataka,Banana,10986598.00
Uttar Pradesh,Gram,10956301.00
Karnataka,Groundnut,10955920.00
Madhya Pradesh,Rapeseed &Mustard,10903356.11
Haryana,Rapeseed &Mustard,10803800.00
Tripura,Rice,10685011.00
Rajasthan,Soyabean,10651942.00
Kerala,Rice,10593347.58
Madhya Pradesh,Onion,10511096.00
Madhya Pradesh,Potato,10386198.00
Gujarat,Maize,10130600.00
Madhya Pradesh,Cotton(lint),10109481.10
Madhya Pradesh,Jowar,10051589.00
Uttarakhand,Rice,9195479.00
Tamil Nadu,Total foodgrain,9121209.00
Uttar Pradesh,Barley,8594791.00
Andhra Pradesh,Mango,8253919.00
Punjab,Maize,8052000.00
Rajasthan,Sugarcane,7828877.00
Himachal Pradesh,Maize,7813360.00
Andhra Pradesh,Dry chillies,7721555.00
Kerala,Banana,7655661.99
Jharkhand,Rice,7527411.94
Andhra Pradesh,Gram,7502877.00
Rajasthan,Barley,7442917.00
Rajasthan,Guar seed,7400477.00
Maharashtra,Groundnut,6774949.00
Andhra Pradesh,Onion,6718618.00
West Bengal,Rapeseed &Mustard,6699665.00
Andhra Pradesh,Mesta,6657005.00
Madhya Pradesh,Banana,6405551.00
Uttar Pradesh,Masoor,6229900.00
Odisha,Paddy,6204467.00
Himachal Pradesh,Wheat,6105703.00
Karnataka,Dry ginger,6076419.90
Karnataka,Arhar/Tur,6038696.00
Uttar Pradesh,Peas & beans (Pulses),6031384.00
Karnataka,Gram,5961803.00
Karnataka,Potato,5950292.00
Gujarat,Rapeseed &Mustard,5844000.00
Rajasthan,Cotton(lint),5571377.00
Karnataka,Sunflower,5545739.10
Uttar Pradesh,Arhar/Tur,5415396.00
Rajasthan,Groundnut,5380526.00
Nagaland,Rice,5269790.00
Tamil Nadu,Jowar,4905140.00
Karnataka,Paddy,4816536.00
Jammu and Kashmir,Maize,4753864.00
West Bengal,Maize,4749814.00
Telangana,Jowar,4727255.00
Telangana,Groundnut,4650591.00
Uttar Pradesh,Onion,4626782.00
Andhra Pradesh,Urad,4596823.00
Madhya Pradesh,Bajra,4444429.30
Uttar Pradesh,Jowar,4374182.00
Karnataka,Bajra,4317082.00
Tamil Nadu,Cotton(lint),4277078.00
Andhra Pradesh,Jowar,4275612.00
Madhya Pradesh,Groundnut,4234150.00
Maharashtra,Moong(Green Gram),4212475.00
Madhya Pradesh,Arhar/Tur,4185915.00
Telangana,Dry chillies,4165163.00
Puducherry,Sugarcane,4151379.00
Jammu and Kashmir,Rice,4116594.40
Tamil Nadu,Onion,4026295.00
Telangana,Onion,4008473.00
Gujarat,Arhar/Tur,4005300.00
Rajasthan,Onion,3937989.00
Karnataka,Wheat,3856245.00
Manipur,Rice,3850798.00
Gujarat,Oilseeds total,3845031.00
Maharashtra,Urad,3831797.00
Kerala,Sugarcane,3819915.84
Rajasthan,Jowar,3719288.00
Andhra Pradesh,Tobacco,3695447.00
Jammu and Kashmir,Wheat,3690143.80
Telangana,Turmeric,3656290.00
Maharashtra,Banana,3634720.00
Haryana,Potato,3621500.00
Andhra Pradesh,other oilseeds,3595365.00
Meghalaya,Rice,3531474.00
Tamil Nadu,Guar seed,3514258.00
Tamil Nadu,Ragi,3507431.00
Rajasthan,Moth,3453484.10
Chhattisgarh,Khesari,3416795.00
Uttar Pradesh,Urad,3408835.40
Andhra Pradesh,Tomato,3366529.00
Andhra Pradesh,Sunflower,3248789.00
Uttarakhand,Total foodgrain,3225930.00
Rajasthan,Moong(Green Gram),3031373.00
Madhya Pradesh,Garlic,2986350.00
Chhattisgarh,Gram,2963354.00
Bihar,Banana,2884412.00
Meghalaya,Potato,2853298.00
Bihar,Mesta,2842240.00
Uttarakhand,Potato,2811721.00
Arunachal Pradesh,Rice,2709476.60
Andhra Pradesh,Papaya,2700821.00
Rajasthan,Rice,2684728.00
Odisha,Maize,2667442.80
Gujarat,Jowar,2625900.00
Madhya Pradesh,Masoor,2596700.00
Uttar Pradesh,Sweet potato,2556292.00
Gujarat,Tobacco,2538400.00
Rajasthan,Coriander,2537778.00
West Bengal,Sesamum,2506228.00
Chhattisgarh,Sugarcane,2499956.00
Assam,Rapeseed &Mustard,2495723.00
Bihar,Masoor,2435684.00
Gujarat,Garlic,2394300.00
Uttarakhand,Ragi,2375091.00
Maharashtra,Ragi,2370535.00
Chhattisgarh,Maize,2351292.00
Madhya Pradesh,Urad,2350726.00
Tamil Nadu,Urad,2301018.00
Tamil Nadu,Bajra,2300092.00
Gujarat,Sesamum,2241400.00
Nagaland,Sugarcane,2216170.00
Karnataka,Dry chillies,2181071.00
Uttar Pradesh,Tobacco,2130702.00
Odisha,Sweet potato,2118227.00
Maharashtra,Sunflower,2110434.00
Karnataka,Horse-gram,2098207.00
Tamil Nadu,Turmeric,2078659.00
Gujarat,Gram,1993000.00
Andhra Pradesh,Tapioca,1971485.00
Telangana,Soyabean,1962759.00
Kerala,Arecanut,1893641.85
Karnataka,Soyabean,1844638.00
Odisha,Groundnut,1819891.90
Haryana,Barley,1816000.00
Maharashtra,Safflower,1810405.00
Madhya Pradesh,Other  Rabi pulses,1796635.00
Telangana,Arhar/Tur,1776492.00
Haryana,Gram,1738000.00
Madhya Pradesh,Barley,1682241.00
West Bengal,Groundnut,1680964.00
Chhattisgarh,Wheat,1674120.00
Nagaland,Maize,1673600.00
Maharashtra,Onion,1663240.00
Kerala,Mango,1650151.00
Telangana,Moong(Green Gram),1626230.00
Telangana,Gram,1604655.00
West Bengal,Mesta,1592173.00
Bihar,Rapeseed &Mustard,1589462.00
Uttar Pradesh,Garlic,1574042.00
Andhra Pradesh,Turmeric,1568134.00
Andhra Pradesh,Arhar/Tur,1549955.00
Bihar,Onion,1538998.00
Madhya Pradesh,Paddy,1530500.00
Bihar,Khesari,1528910.00
Odisha,Potato,1520018.30
Bihar,Moong(Green Gram),1498106.10
Odisha,Onion,1492182.00
Assam,Pineapple,1461324.00
Madhya Pradesh,Sesamum,1455405.00
Goa,Rice,1432244.00
Himachal Pradesh,Rice,1419350.00
Madhya Pradesh,Small millets,1389071.00
Rajasthan,Castor seed,1379645.00
Uttar Pradesh,Groundnut,1372333.00
Tamil Nadu,Mango,1371865.00
Jharkhand,Potato,1365212.66
Odisha,Moong(Green Gram),1345839.60
Karnataka,Moong(Green Gram),1337271.00
Andhra Pradesh,Moong(Green Gram),1330384.00
Sikkim,Maize,1323547.00
Gujarat,Guar seed,1281800.00
Rajasthan,Sesamum,1274338.00
Andhra Pradesh,Bajra,1265709.00
Bihar,Gram,1255222.00
Punjab,Barley,1249400.00
Telangana,Castor seed,1243343.00
Gujarat,Moong(Green Gram),1240900.00
Himachal Pradesh,Potato,1233663.00
Assam,Wheat,1218370.00
Rajasthan,Garlic,1199097.00
Kerala,Rubber,1175267.00
Meghalaya,Banana,1171262.00
Andhra Pradesh,Ragi,1159489.00
Mizoram,Rice,1138604.00
Dadra and Nagar Haveli,Sugarcane,1115995.00
Tamil Nadu,Moong(Green Gram),1107283.10
Tamil Nadu,Potato,1081953.00
Arunachal Pradesh,Maize,1058829.00
Karnataka,Tobacco,1048160.00
Andhra Pradesh,Brinjal,1015080.00
Assam,Arecanut,1010523.00
Karnataka,Turmeric,995598.00
Puducherry,Rice,985958.00
Karnataka,Other Kharif pulses,976976.18
Maharashtra,Grapes,973173.00
Kerala,Black pepper,971530.11
Andhra Pradesh,Orange,955677.00
Madhya Pradesh,Linseed,954548.02
Madhya Pradesh,Other Kharif pulses,949111.00
Kerala,Cashewnut,948395.22
Gujarat,Urad,943200.00
Karnataka,Atcanut (Raw),927250.00
Madhya Pradesh,Peas & beans (Pulses),909011.00
Odisha,Ragi,907965.30
Chhattisgarh,Soyabean,905204.00
Assam,Orange,892874.00
Karnataka,Safflower,891029.00
Nagaland,Potato,886310.00
Rajasthan,other oilseeds,879082.00
Meghalaya,Dry ginger,877024.00
Chhattisgarh,Potato,874066.00
Telangana,Sunflower,845027.00
West Bengal,Masoor,841460.00
Tripura,Sugarcane,820546.00
Bihar,Arhar/Tur,817139.00
Odisha,Urad,810086.10
Uttar Pradesh,Banana,809492.00
Assam,Papaya,806067.00
Madhya Pradesh,Dry chillies,804394.01
Punjab,Rapeseed &Mustard,791700.00
Rajasthan,Potato,791486.00
Haryana,Onion,789400.00
Madhya Pradesh,Coriander,781843.02
West Bengal,Dry chillies,771351.00
Bihar,Sweet potato,765438.00
Karnataka,Black pepper,756941.80
West Bengal,Urad,756330.00
Tamil Nadu,Pulses total,750495.00
Odisha,Jute,747092.90
Arunachal Pradesh,Dry ginger,739471.00
Rajasthan,Urad,717966.00
Karnataka,Mango,714735.00
Uttar Pradesh,Other  Rabi pulses,705965.00
Arunachal Pradesh,Oilseeds total,705464.00
Uttarakhand,Small millets,690889.00
Maharashtra,Other Kharif pulses,687460.00
Meghalaya,Jute,685687.00
Karnataka,Sesamum,664358.00
Haryana,Other Vegetables,664300.00
Telangana,Urad,635701.00
Jharkhand,Maize,631550.15
Tamil Nadu,Arhar/Tur,625201.10
Chhattisgarh,Small millets,623629.00
Gujarat,Pulses total,610606.00
Tamil Nadu,Sesamum,607498.00
Uttarakhand,Maize,607472.00
Telangana,Banana,602619.00
Karnataka,Urad,602156.20
Kerala,Dry ginger,601093.82
Karnataka,Grapes,591986.00
Uttar Pradesh,Moong(Green Gram),586910.80
Chhattisgarh,Groundnut,585074.00
Tamil Nadu,Small millets,584853.00
Arunachal Pradesh,Potato,578571.00
Goa,Sugarcane,570984.00
Jharkhand,Wheat,569101.30
Uttar Pradesh,Oilseeds total,563081.00
Uttar Pradesh,Sesamum,558205.70
Haryana,Maize,556200.00
Tamil Nadu,Horse-gram,546434.00
West Bengal,Gram,544573.00
Andhra Pradesh,Lemon,540994.00
West Bengal,Khesari,540123.00
Uttarakhand,Other Cereals & Millets,521427.00
Maharashtra,Other  Rabi pulses,519812.00
Andhra Pradesh,Cashewnut,519165.00
Assam,Ginger,518074.00
Tripura,Potato,513785.00
Tamil Nadu,Tomato,509939.00
Manipur,Banana,509781.00
Assam,Sweet potato,501309.00
Tamil Nadu,Cashewnut,500823.00
Bihar,Other  Rabi pulses,500448.00
Meghalaya,Maize,498875.00
Rajasthan,Other Kharif pulses,490843.00
Chhattisgarh,Urad,487022.00
Nagaland,Soyabean,484190.00
Tamil Nadu,Dry chillies,484071.00
Odisha,Arhar/Tur,479496.00
Telangana,Orange,475841.00
Assam,Mesta,468192.00
Assam,Other  Rabi pulses,459291.00
Andhra Pradesh,Citrus Fruit,456274.00
Dadra and Nagar Haveli,Rice,454865.00
Karnataka,Sweet potato,451284.00
Karnataka,Tomato,447872.00
Odisha,Horse-gram,443839.40
Haryana,Jowar,439690.00
Assam,Dry ginger,431432.00
Chhattisgarh,Onion,428277.00
Gujarat,Other Cereals & Millets,423000.00
Bihar,Linseed,415119.00
Uttarakhand,Onion,406593.00
Andhra Pradesh,Horse-gram,401868.00
Bihar,Sunflower,397208.00
Odisha,Dry chillies,395380.00
Andhra Pradesh,Castor seed,395193.00
Chhattisgarh,Arhar/Tur,394922.00
Maharashtra,Sesamum,393530.00
Uttarakhand,Barley,391260.00
Meghalaya,Tapioca,391255.00
Assam,Maize,389382.00
Madhya Pradesh,Turmeric,388487.02
Arunachal Pradesh,Sugarcane,384639.00
Sikkim,Rice,383136.00
Meghalaya,Mesta,381962.00
Tamil Nadu,Sunflower,375438.00
Maharashtra,Mango,370960.00
Rajasthan,Dry chillies,366881.00
Arunachal Pradesh,Small millets,364265.00
Telangana,Mango,357116.00
Telangana,Tobacco,356278.00
Himachal Pradesh,Barley,352595.00
Andhra Pradesh,Small millets,352309.00
Nagaland,Rapeseed &Mustard,351641.00
Karnataka,Small millets,349189.10
Assam,Onion,348590.00
Telangana,Potato,347817.00
Bihar,Barley,346454.00
Karnataka,Cashewnut,339015.22
Assam,Urad,338637.00
Bihar,Peas & beans (Pulses),338196.00
Haryana,Arhar/Tur,338063.00
Madhya Pradesh,Niger seed,332574.10
Rajasthan,Masoor,331783.00
Maharashtra,Small millets,330700.00
Uttar Pradesh,Other Kharif pulses,330090.00
Odisha,Turmeric,327938.00
Punjab,Moong(Green Gram),326600.00
Madhya Pradesh,Sweet potato,317324.00
Jammu and Kashmir,Rapeseed &Mustard,314539.80
Chhattisgarh,Rapeseed &Mustard,313662.00
Andhra Pradesh,Sesamum,311472.00
Uttar Pradesh,Linseed,311176.00
West Bengal,Turmeric,304953.00
Telangana,Tomato,302641.00
Assam,Tapioca,297797.00
Gujarat,Ragi,297700.00
Chhattisgarh,Banana,294156.00
Karnataka,Castor seed,289492.00
Meghalaya,Sweet potato,287042.00
Bihar,Tobacco,284452.00
Nagaland,Tapioca,282500.00
Madhya Pradesh,Khesari,282364.00
Andhra Pradesh,Sapota,280427.00
Bihar,Urad,279730.00
West Bengal,Arecanut,278740.00
Haryana,Guar seed,278379.00
Meghalaya,Arecanut,277737.00
Himachal Pradesh,Sugarcane,273233.10
Karnataka,Citrus Fruit,272754.00
Uttar Pradesh,Sunflower,270548.00
Kerala,Papaya,267675.00
Kerala,Pineapple,263381.00
West Bengal,Tobacco,259815.00
Telangana,Bajra,258264.00
Punjab,Guar seed,254772.00
Bihar,Ragi,254292.00
Andhra Pradesh,Pome Fruit,251433.00
West Bengal,Ragi,251210.00
Odisha,Sesamum,247835.50
Uttar Pradesh,Soyabean,247229.00
Chhattisgarh,Horse-gram,240222.00
Rajasthan,Peas & beans (Pulses),235241.00
Chhattisgarh,Linseed,233844.00
Odisha,Mesta,232260.00
Punjab,Gram,232000.00
Gujarat,Moth,231900.00
Madhya Pradesh,Moong(Green Gram),230549.00
Chhattisgarh,Sweet potato,228837.00
Karnataka,Peas & beans (Pulses),227107.00
Andaman and Nicobar Islands,Rice,223006.06
Assam,Peas & beans (Pulses),220368.00
Rajasthan,Arhar/Tur,216795.00
Andhra Pradesh,Potato,216449.00
Maharashtra,Linseed,215777.00
Tamil Nadu,Sweet potato,215209.00
Uttar Pradesh,Small millets,214220.10
Odisha,Niger seed,212457.90
Odisha,Garlic,211908.00
West Bengal,Dry ginger,209086.00
Maharashtra,Niger seed,203630.00
Assam,Dry chillies,202062.00
Tamil Nadu,Cabbage,201342.00
Andhra Pradesh,Bhindi,199605.00
Gujarat,Other Kharif pulses,198600.00
Uttarakhand,Dry ginger,197586.00
Mizoram,Maize,196048.00
Karnataka,Arcanut (Processed),192831.00
Uttarakhand,Soyabean,191586.00
Telangana,Sesamum,191382.00
Assam,Masoor,183726.00
Chhattisgarh,Niger seed,183667.00
Jharkhand,Ragi,183569.48
Telangana,other oilseeds,182751.00
Telangana,Ragi,182535.00
Assam,Turmeric,180527.00
Jharkhand,Arhar/Tur,179899.13
West Bengal,Peas & beans (Pulses),175643.00
Meghalaya,Pineapple,175004.00
Meghalaya,Total foodgrain,172595.00
Punjab,Arhar/Tur,172500.00
Karnataka,Cowpea(Lobia),170363.00
Andhra Pradesh,Coriander,166376.00
Haryana,Sunflower,165400.00
Meghalaya,Turmeric,164976.00
Odisha,Dry ginger,164858.00
Goa,Other Vegetables,161921.00
Mizoram,Sugarcane,161231.00
Nagaland,Small millets,160560.00
Karnataka,Brinjal,160512.00
Tamil Nadu,Brinjal,160400.00
Andhra Pradesh,Sweet potato,158666.00
West Bengal,Moong(Green Gram),158258.00
Gujarat,Dry chillies,157200.00
Manipur,Pineapple,155469.00
Puducherry,Tapioca,154583.00
Tamil Nadu,Dry ginger,151871.00
Himachal Pradesh,Peas & beans (Pulses),150392.00
Goa,Cashewnut,148291.00
Uttar Pradesh,Dry chillies,144325.00
Telangana,Wheat,142819.00
West Bengal,Sunflower,141790.00
Maharashtra,Other Cereals & Millets,140900.00
Rajasthan,Other  Rabi pulses,140620.00
Assam,Sesamum,140230.00
Puducherry,Banana,138800.00
Gujarat,Soyabean,137900.00
Uttarakhand,Rapeseed &Mustard,137325.00
Nagaland,Jute,136480.00
Kerala,Cardamom,136342.00
Punjab,Groundnut,135700.00
Manipur,Sugarcane,134912.00
Uttarakhand,Other Kharif pulses,133521.00
Bihar,Horse-gram,132808.00
Manipur,Potato,131800.00
Kerala,Coffee,130012.00
Jammu and Kashmir,Potato,126900.90
Meghalaya,Cotton(lint),126771.00
Nagaland,Peas & beans (Pulses),126410.00
Odisha,Cotton(lint),126120.00
Nagaland,Ginger,124390.00
Kerala,Turmeric,124363.93
Himachal Pradesh,Dry ginger,123864.00
Haryana,Other Fresh Fruits,121500.00
Kerala,Tea,121079.30
Odisha,Wheat,120656.70
Tamil Nadu,Other Kharif pulses,120367.00
Kerala,Sweet potato,119231.00
Karnataka,Tapioca,119219.00
Punjab,Peas & beans (Pulses),118920.00
Tamil Nadu,Tobacco,118544.00
Dadra and Nagar Haveli,Coconut,117288.00
West Bengal,Cotton(lint),117142.00
Telangana,Dry ginger,117108.00
Gujarat,Other  Rabi pulses,116300.00
Madhya Pradesh,Dry ginger,112375.10
Tripura,Jute & mesta,112315.00
Andhra Pradesh,Korra,111383.00
Nagaland,Wheat,110810.00
Karnataka,Niger seed,110614.00
Uttarakhand,Pulses total,109090.00
Uttarakhand,Urad,109018.00
West Bengal,Sannhamp,107961.00
Tamil Nadu,Pome Fruit,107687.00
Uttarakhand,Ginger,107193.00
Sikkim,Wheat,106540.00
Uttarakhand,Masoor,106339.00
Punjab,Sesamum,105660.00
Sikkim,Other Vegetables,103620.00
Odisha,Gram,102881.00
Arunachal Pradesh,Wheat,102145.00
Uttarakhand,Horse-gram,99373.00
Meghalaya,Rapeseed &Mustard,98955.00
Chhattisgarh,Sesamum,98606.00
Karnataka,Beans & Mutter(Vegetable),98563.00
Meghalaya,Cashewnut,97476.00
Andaman and Nicobar Islands,Banana,97424.65
Tamil Nadu,Grapes,95558.00
Telangana,Brinjal,95447.00
Nagaland,Dry ginger,93320.00
Kerala,Garlic,92255.00
Sikkim,Total foodgrain,92247.00
Manipur,Maize,91133.00
Karnataka,Other  Rabi pulses,90921.00
Jharkhand,Onion,90533.90
Tamil Nadu,Coriander,90385.10
Chhattisgarh,Jowar,90048.00
Goa,Other Fresh Fruits,89643.00
Maharashtra,Tomato,89065.00
Nagaland,Niger seed,88690.00
Odisha,Small millets,88648.00
Telangana,Masoor,88615.00
Haryana,Moong(Green Gram),88367.00
Assam,Arhar/Tur,87741.00
Tripura,Mesta,87516.00
Telangana,Safflower,86940.00
Odisha,Rapeseed &Mustard,86535.10
Karnataka,Garlic,86394.00
Tamil Nadu,Arecanut,86296.00
Nagaland,Linseed,85490.00
Odisha,Other  Rabi pulses,83729.00
Madhya Pradesh,Sannhamp,83654.00
Bihar,Jowar,83110.00
Jharkhand,Sugarcane,82173.01
Assam,Niger seed,80375.00
Assam,Linseed,79976.00
Tamil Nadu,Samai,79535.00
Odisha,Sannhamp,79340.00
Madhya Pradesh,Horse-gram,79333.00
Goa,Groundnut,78415.00
Chhattisgarh,Masoor,78315.00
